WINTER 13 : 6/11/2013 6:18:32 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Report Title: All Classes ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Non-Clustered Classes: ,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
2,ACCT&201  02,PRIN OF ACCOUNTING I,5,MTWTh,9:00 AM,BPH0401,"O'neill, m. ",57,/,35,2,19,1.7,
6,ACCT&202  02,PRIN OF ACCOUNTING II,5,MTWTh,11:00 AM,BPH0406,O'neill ,68,/,50,1,22.7,5.3,
5,ACCT&202  01,PRIN OF ACCOUNTING II,5,MTWTh,8:00 AM,BPH0401,O'neill ,49,/,50,1,16.3,3.7,
7,ACCT&202  03,PRIN OF ACCOUTNING II,5,MW,6:30 PM,BE 4148,Maxwell ,15,/,35,0,5,4,
8,ACCT&203  01,PRIN OF ACCOUNTING III,5,HYBRID - MTWTh,11:00 AM,BE 3212,Black ,36,/,50,0,12,1.7,
9106,ACCT&203  OL,PRIN OF ACCOUNTING III,5,Online,-,-,"Black,claude",20,/,25,0,6.7,1,
7760,ADS 197  01,WORK EXP:APPAREL DESIGN,5,Arr,AR:R M,-,"Kato, karen ",5,/,30,0,1.2,1.2,
9112,AHE 150  OL,HIV/AIDS EDUCATION,0,Online,-,-,"Cornutt, l. ",17,/,25,0,0.6,0.6,
7765,AHE 197  01,WORK EXP:ALLIED HEALTH,5,Arr,AR:R M,-,"Kato, karen ",0,/,20,0,0,0,
7770,AHE 198  01,WORK EXP:ALLIED HEALTH,5,Arr,AR:R M,-,"Kato, karen ",0,/,20,0,0,0,
7775,AHE 199  01,WORK EXP:ALLIED HEALTH,5,Arr,AR:R M,-,"Kato, karen ",0,/,20,0,0,0,
9115,ANTH&100  OL,SURVEY OF ANTHROPOLOGY,5,Online,-,-,"Krieg, kate ",24,/,25,5,8,7.3,
1454,ANTH 135  01,IS-ENVIRONMENTAL ANTHRO,5,MW,6:00 PM,BE 4118,"Krieg, kate ",23,/,35,0,7.7,6.3,
1460,ANTH 201  H1,CONTMP ISSUES IN ANTHRO,5,M,12:00 PM,BE 4105,"Knutson, p. ",27,/,35,0,9,6.3,
527,ANTH 201  AC,IS-CONTEMP ISS IN ANTHRO,5,MTWTh,10:00 AM,BE 4151,"Barclay, s. ",5,/,50,0,1.7,1.7,
1461,ANTH 201  H2,CONTMP ISSUES IN ANTHRO,5,W,12:00 PM,BE 4105,"Knutson, p. ",29,/,35,0,9.7,8,
1471,ANTH&205  01,BIOLOGICAL ANTHROPOLOGY,5,DAILY,9:00 AM,BE 4105,"Al-madani,m.",30,/,35,1,10,8.7,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
1472,ANTH&205  02,BIOLOGICAL ANTHROPOLOGY,5,TTh,12:00 PM,BE 4105,"Knutson, p. ",35,/,35,4,11.7,10.3,
526,ANTH&228  AC,IS-CULTURES OF THE MID-E,5,MTWTh,10:00 AM,BE 4151,"Al-madani,m.",21,/,50,0,7,7,
1491,ANTH 298  01,SPECIAL TOPICS - ANTH,5,Arr,AR:R M,BE 4128,"Lane,bradley",1,/,5,0,0.3,0.3,
1492,ANTH 299  01,SPECIAL PROBLEMS - ANTH,5,Arr,AR:R M,BE 4128,"Lane,bradley",0,/,5,0,0,0,
1900,APPRL096  01,AD&D SKILL DEVELOPMENT 1,2,T,6:00 PM,BE 1149,"Moy, scott ",21,/,20,5,2.8,2.7,
1901,APPRL098  01,AD&D SKILL DEVELOPMENT 2,2,W,6:00 PM,BE 1149,"Quilter, e. ",16,/,20,0,2.1,2,
1902,APPRL098  02,AD&D SKILL DEVELOPMENT 2,2,T,1:00 PM,BE 1149,"Smithson, d.",15,/,20,0,2,1.7,
1943,APPRL100  01,AD&D SKILL DEVELOPMENT 3,2,Th,6:00 PM,BE 1149,"Moy, scott ",11,/,20,0,1.5,1.3,
1904,APPRL102  02,CNSTR 2 PROFSNL TECHNIQS,4,Th,9:00 AM,BE 1149,"Sigelmann,c.",13,/,20,0,3.5,2.9,
1903,APPRL102  01,CONST 2 PROFSNL TECHNIQS,4,W,9:00 AM,BE 1149,"Sigelmann,c.",16,/,20,0,4.3,4,
1912,APPRL112  01,PATTERN MAKING 2 DRAPING,4,Th,9:00 AM,BE 1149A,Toler-scott ,16,/,20,0,4.3,4,
1913,APPRL112  02,PATRN MAKING TO DRAPING,4,W,9:00 AM,BE 1149A,Toler-scott ,13,/,20,0,3.5,2.9,
1915,APPRL131  01,BUS PRACTICE IN FASHION,3,M,9:00 AM,BE 1139,"Sigelmann,c.",16,/,20,0,3.2,3,
1916,APPRL131  02,BUS PRACTICES IN FASHION,3,M,1:00 PM,BE 1139A,"Sigelmann,c.",13,/,20,0,2.6,2.2,
1920,APPRL142  01,DESII-FABRC SCI&TEXTILES,2,T,1:00 PM,BE 1139A,Knannlein ,16,/,20,0,2.1,2,
1921,APPRL142  02,DESII FABRC SCI&TEXTILES,2,T,9:00 AM,BE 1139A,Knannlein ,13,/,20,0,1.7,1.5,
1980,APPRL152  AP2,COMP APPS/APPAREL DESIGN,3,M,9:00 AM,BE 3173,Knannlein ,13,/,20,0,2.6,2.2,
1979,APPRL152  AP1,COMP APPS/APPAREL DESIGN,3,M,1:00 PM,BE 3173,Knannlein ,16,/,20,0,3.2,3,
1926,APPRL202  01,ACTIVE SPORTSWEAR CONSTR,4,Th,9:00 AM,BE 1149,"Moy, scott ",16,/,20,0,4.3,4,
1927,APPRL202  02,ACTIVE SPORTSWEAR CONSTR,4,W,9:00 AM,BE 1149,"Nakaya, h. ",16,/,20,0,4.3,4,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
1939,APPRL212  01,PATTERN DESIGN/ACTV SPOR,4,W,9:00 AM,BE 1149,Orzel ,16,/,20,0,4.3,4,
1940,APPRL212  02,PATTERN DESIGN/ACTV SPOR,4,Th,9:00 AM,BE 1149,Orzel ,16,/,20,0,4.3,4,
1934,APPRL222  01,COMPTRZD PATTERN GRADING,4,M,9:00 AM,BE 1150,"Nakaya, h. ",17,/,20,0,4.5,4.3,
1935,APPRL222  02,COMPTRZD PATTERN GRADING,4,T,9:00 AM,BE 1149,"Nakaya, h. ",15,/,20,0,4,3.7,
1942,APPRL242  02,DESIGN A LINE,2,F,1:00 PM,BE 1139A,Knannlein ,15,/,20,0,2,1.9,
1941,APPRL242  01,DESIGN A LINE,2,F,9:00 AM,BE 1139A,Knannlein ,17,/,20,0,2.3,2.1,
550,ART& 100  02,ART APPRECIATION,5,MW,6:00 PM,FA 0406,"Enderle, m. ",29,/,35,0,9.7,5.3,
551,ART& 100  01,ART APPRECIATION,5,DAILY,12:00 PM,FA 0405,Tanzi ,31,/,35,2,10.3,4.7,
554,ART 102  01,DESIGN,5,MW,1:00 PM,FA 0402,Barrie ,25,/,25,0,8.3,2.3,
557,ART 105  01,IS-SUR MDRN ART,5,DAILY,11:00 AM,BE 3203,"King,melanie",35,/,35,0,11.7,8.7,
592,ART 252  01,ART HISTORY,5,MW,1:00 PM,FA 0302,"Enderle, m. ",32,/,35,0,10.7,8,
593,ART 255  01,IS-HIST/OF ASIA ART,5,DAILY,10:00 AM,BE 4149,"King,melanie",35,/,35,2,11.7,8,
596,ART 299  01,SPECIAL PROBLEMS IN ART,5,Arr,AR:R M,BE 4128,"Lane,bradley",5,/,5,0,1.1,1.1,
144,ASL& 121  02,ASL I,5,MW,6:30 PM,BE 2122,"Vincent, c. ",15,/,25,0,5,3.7,
143,ASL& 121  02,ASL I,5,DAILY,11:00 AM,BE 1114,"Roberts, k. ",25,/,25,3,8.3,6.7,
152,ASL& 122  02,ASL II,5,DAILY,11:00 AM,,Cancel/dec ,0,/,25,0,0,0,
155,ASL& 122  05,ASL II,5,TTh,6:30 PM,BE 1129,"Wilson, nat ",18,/,25,0,6,5,
150,ASL& 122  03,ASL II,5,DAILY,9:00 AM,BE 1114,"Vincent, c. ",11,/,25,0,3.7,3,
151,ASL& 122  01,ASL II,5,DAILY,10:00 AM,BE 1114,"Roberts, k. ",23,/,25,0,7.7,6.3,
181,ASL& 222  01,ASL V,5,DAILY,10:00 AM,BE 3192,"Vincent, c. ",7,/,25,0,2.3,2.3,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
184,ASL& 222  02,ASL v,5,MW,6:30 PM,BE 1114,"Wilson, nat ",26,/,25,0,8.7,8.3,
9103,ASTR&100  OL,ASTRONOMY,5,Online,-,-,Larson ,23,/,25,0,7.7,6.7,
1000,ASTR&100  01,ASTRONOMY,5,DAILY,12:00 PM,BE 3212,"Waterbury, m",39,/,35,3,13,7.7,
1001,ASTR&100  02,ASTRONOMY,5,DAILY,8:00 AM,SAM0105,"Faust, d. ",36,/,35,2,12,7.3,
2051,BAK 101  01,INTRO DESSERTS/BREADS TH,4,TTh,8:30 AM,BE 3212,"Martin ii,j.",13,/,16,0,3.5,3.5,
2052,BAK 102  01,BREAD & FOOD PRESERVATIO,3,TWTh,8:00 AM,BE 2111,"Reed, donald",12,/,16,0,2.4,2.2,
2053,BAK 103  01,ADVANCED THEORY,4,TWThF,8:00 AM,BE 2109,"Bernard, r. ",9,/,15,0,2.4,2.1,
2055,BAK 105  01,RESTAURANT BAKING:THEORY,2,F,7:30 AM,BE 2115,"Jordan, w. ",12,/,22,0,1.2,1.2,
2061,BAK 111  01,INTRO DESSERTS/BREADS PR,6,TWThF,10:00 AM,BE 2109,"Reed, donald",12,/,16,0,4.8,4.8,
2062,BAK 112  01,BEGIN DESSERTS/BREADS:PR,8,TWThF,9:00 AM,BE 2109,"Reed, donald",13,/,16,0,6.9,6.4,
2063,BAK 113  01,INT DESSERTS & BREADS PR,8,TWThF,9:00 AM,BE 2109,"Bernard, r. ",10,/,15,0,5.3,4.8,
2065,BAK 115  01,RESTAURANT BAKING:PRACTI,1,Arr,AR:R M,BE 2109,"Martin ii,j.",12,/,20,0,0.8,0.8,
2066,BAK 116  01,FINE DINING BAKING:PRACT,1,Arr,AR:R M,BE 2109,"Martin ii,j.",22,/,20,0,1.5,1.4,
2067,BAK 117  01,INTRO TO CHEESE MAKING,1,F,8:00 AM,BE 2121,"Reed, donald",22,/,15,0,1.5,1.5,
2075,BAK 125  01,ADV DESSERTS & BREADS PR,8,WTh,9:00 AM,BE 2109,"Bernard, r. ",9,/,13,0,4.8,4.3,
2076,BAK 126  01,ADV FOOD PRESERVATION,3,WTh,2:00 PM,BE 2109,"Reed, donald",9,/,13,0,1.8,1.6,
2099,BAK 299  01,SPECIAL PROJECTS/COM BAK,5,Arr,AR:R M,BE 2108,"Bernard, r. ",0,/,5,0,0,0,
1006,BIOL&100  01,SURVEY OF BIOLOGY W/ LAB,5,MTTh,8:00 AM,SAM0104,"Campbell,liz",25,/,24,0,8.3,6.7,
1007,BIOL&100  02,SURVEY OF BIOLOGY W/ LAB,5,MTTh,10:00 AM,SAM0104,"Greene, j. ",24,/,24,5,8,6.3,
1013,BIOL 103  01,"NUTRITION, FOOD SERVICE",3,TTh,2:00 PM,SAM0203,"Del matto, l",22,/,35,0,4.4,4,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
1015,BIOL 107  01,INTRO: ANIMAL BEHAVIOR,5,TTh,12:00 PM,SAM0203,Moffat ,24,/,24,0,8,5.3,
1018,BIOL 128  01,SURVEY OF HUMAN ANAT/PHY,5,MTWF,1:00 PM,SAM0105,"Davis, anna ",23,/,24,4,7.7,7,
1020,BIOL&160  05,GENERAL BIOLOGY W/ LAB,5,MWF,2:00 PM,SAM0104,"Baum, kira ",20,/,24,3,6.7,5.3,
1021,BIOL&160  01,GENERAL BIOLOGY W/ LAB,5,MWF,8:00 AM,SAM0400,"Whorley,josh",24,/,24,3,8,6.7,
1022,BIOL&160  02,GENERAL BIOLOGY W/ LAB,5,MWF,10:00 AM,SAM0203,Ainsworth ,25,/,24,7,8.3,6,
1025,BIOL&160  11,GENERAL BIOLOGY W/ LAB,5,MW,6:00 PM,SAM0203,Legters ,23,/,24,2,7.7,7,
1024,BIOL&160  04,GENERAL BIOLOGY W/ LAB,5,MWF,2:00 PM,SAM0203,"Greene, j. ",22,/,24,2,7.3,5.7,
1023,BIOL&160  03,GENERAL BIOLOGY W/ LAB,5,MWF,12:00 PM,SAM0203,Ainsworth ,23,/,24,6,7.7,5,
1026,BIOL 161  01,HUMAN GENETICS,5,MW,12:00 PM,SAM0104,Yasuda ,27,/,24,5,9,6,
7780,BIOL 197  01,WORK EXP: BIOLOGY,5,Arr,AR:R M,-,"Kato, karen ",0,/,25,0,0,0,
1031,BIOL&211  01,COLLEGE BIOLOGY W/ LAB,5,MTWF,8:00 AM,SAM0203,Wiseley ,27,/,24,4,9,5.7,
1032,BIOL&211  02,COLLEGE BIOLOGY W/ LAB,5,MTWF,11:00 AM,SAM0203,Wiseley ,27,/,24,4,9,5,
1035,BIOL&212  02,COLLEGE BIOLOGY W/ LAB,5,MTTh,12:00 PM,SAM0105,Whorley ,23,/,24,0,7.7,5,
1034,BIOL&212  01,COLLEGE BIOLOGY W/ LAB,5,MTTh,12:00 PM,SAM0105,Whorley ,18,/,24,0,6,4.3,
1040,BIOL&241  01,HUMAN ANAT & PHYS 1,5,MTTh,9:00 AM,SAM0104,Moffat ,27,/,24,3,9,8,
1041,BIOL&241  02,HUMAN ANAT & PHYS 1,5,MTTh,11:00 AM,SAM0104,"Gong, daniel",26,/,24,3,8.7,8,
1042,BIOL&241  03,HUMAN ANAT & PHYS 1,5,MTTh,1:00 PM,SAM0203,"Mc lean, jay",26,/,24,0,8.7,8,
1045,BIOL&241  11,HUMAN ANAT & PHYS 1,5,MW,5:30 PM,SAM0105,Morefield ,32,/,24,3,10.7,8.3,
1047,BIOL&242  02,HUMAN ANAT & PHYS 2,5,MWF,11:00 AM,SAM0105,"Blackwell, r",17,/,24,0,5.7,5.7,
1049,BIOL&242  12,HUMAN ANAT & PHYS 2,5,TTh,5:30 PM,SAM0105,Morefield ,32,/,24,5,10.7,9.3,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
1046,BIOL&242  01,HUMAN ANAT & PHYS 2,5,MWF,9:00 AM,SAM0203,"Gong, daniel",26,/,24,3,8.7,8.3,
1051,BIOL&260  01,MICROBIOLOGY W/ LAB,5,MWF,10:00 AM,SAM0105,Yasuda ,23,/,24,3,7.7,7,
1052,BIOL&260  02,MICROBIOLOGY W/ LAB,5,MWF,10:00 AM,SAM0105,Yasuda ,17,/,24,0,5.7,4.7,
1054,BIOL&260  12,MICROBIOLOGY W/ LAB,5,TTh,6:00 PM,SAM0203,Legters ,23,/,24,0,7.7,7.3,
1067,BIOL 298  01,SPECIAL TOPICS,5,Arr,AR:R M,SAM0110,Cancel jul12,0,/,5,0,0,0,
1069,BIOL 299  01,INDEPENDENT STUDY,5,Arr,AR:R M,SAM0110,STAFF,0,/,5,0,0,0,
1068,BIOL 299  02,INDEPT STDY: ANP SYSTEMS,2,Arr,AR:R M,-,Cancel jul12,0,/,1,0,0,0,
1065,BIOL 299  04,INDP STDY:ANAT LAB,2,Arr,AR:R M,SAM0110,Cancel jul12,0,/,1,0,0,0,
1066,BIOL 299  01,INDEP STDY: VIRAL PATHOL,2,Arr,AR:R M,SAM0100,Cancel jul12,0,/,5,0,0,0,
1070,BOT 112  01,THE PLANT KINGDOM W/ LAB,5,TTh,9:00 AM,SAM0105,Sparks ,23,/,24,2,7.7,6.7,
19,BUS 100  01,FUND OF SUPERVISION,3,MWF,8:00 AM,BE 3214,"Chandler, y.",20,/,25,0,4,3.6,
115,BUS& 101  01,INTRO TO BUSINESS,5,DAILY,9:00 AM,BE 4159,Brankovan ,32,/,30,5,10.7,4.3,
116,BUS& 101  02,INTRO TO BUSINESS,5,DAILY,10:00 AM,BE 4159,Brankovan ,34,/,30,3,11.3,3.3,
9105,BUS& 101  OL,INTRO TO BUSINESS,5,Online,-,-,"Ward, paula ",23,/,25,1,7.7,7.3,
23,BUS 113  01,DIVERSITY ISSUES IN BUS,3,MWF,8:00 AM,,Cancel/dec26,0,/,25,0,0,0,
24,BUS 116  01,BUSINESS MATH/EXCEL,5,MW,9:00 AM,BE 3178,Natoli ,20,/,25,0,6.7,5.7,
41,BUS 118  01,PRO MGMT INRO & OVERVIEW,5,TTh,5:00 PM,,Cancel/dec26,0,/,35,0,0,0,
25,BUS 131  01,INTEG COMMUNICATIONS I,5,DAILY,11:00 AM,BE 3192,"Wacker, z. ",21,/,25,0,7,5.3,
26,BUS 132  01,INTEG COMMUNICATIONS II,5,MWF,12:00 PM,BE 3178,Natoli ,24,/,25,0,8,7.3,
27,BUS 140  01,CUSTOMER RELATIONS,5,DAILY,9:00 AM,BE 3214,"Palazzo, m. ",25,/,25,3,8.3,5.7,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
50,BUS 165  HY,CAREER DEVELOPMENT II,2,T,1:00 PM,BE 3214,"Biykoglu, a.",4,/,25,0,0.5,0.4,
28,BUS 170  01,INFORMATION TECH I,4,TTh,10:00 AM,BE 3214,Natoli ,21,/,25,0,5.6,4,
29,BUS 171  01,INFORMATION TECH II,4,MW,10:00 AM,BE 3214,"Palazzo,marl",29,/,25,1,7.7,7.2,
30,BUS 178  01,WEB DESIGN & DEVELOPMENT,5,DAILY,12:00 PM,,Cancel/dec26,0,/,25,0,0,0,
31,BUS 181  01,DESKTOP PUBLISHING,5,DAILY,9:00 AM,BE 3184,"Tartow,robin",23,/,25,0,7.7,5,
33,BUS 184  01,BUSINESS DATABASES,5,DAILY,8:00 AM,BE 3175,"Johnson, a. ",7,/,25,0,2.3,2.3,
42,BUS 185  02,SMALL BUSINESS MANAGEMNT,5,TTh,7:15 PM,,Cancel/dec26,0,/,35,0,0,0,
32,BUS 185  01,SMALL BUS. MANAGEMENT,5,MWF,11:00 AM,BE 3200,Natoli ,28,/,25,0,9.3,7,
7785,BUS 197  01,WORK EXP:BUSINESS,5,Arr,AR:R M,-,"Kato, karen ",5,/,30,0,1,0.8,
9108,BUS& 201  OL,BUSINESS LAW,5,Online,-,-,Tennyson ,16,/,25,1,5.3,2.7,
117,BUS& 201  01,BUSINESS LAW,5,DAILY,9:00 AM,BE 4149,"Tennyson, w.",42,/,35,3,14,3.7,
118,BUS& 201  02,BISINESS LAW,5,DAILY,12:00 PM,BE 4149,Tennyson ,43,/,35,3,14.3,2.3,
120,BUS 210  02,Q-BUS & ECON STATISTICS,5,MTWF,2:00 PM,BE 4166,"Hanning,alex",20,/,35,0,6.7,1,
119,BUS 210  01,Q-BUS & ECON STATISTICS,5,MTWF,11:00 AM,BE 4149,Tennyson ,49,/,35,2,16.3,4.3,
35,BUS 216  01,PROFESSIONAL DEVELOPMENT,5,DAILY,11:00 AM,BE 3214,"Palazzo, m. ",30,/,25,2,10,3,
36,BUS 299  01,INDEPENDENT STUDY,5,Arr,AR:R M,BE 5166,"Laflen, jody",3,/,5,0,0.7,0.7,
2598,CFS 110  SPA,PLAN AGE APP ACT & ENVIR,3,W,6:00 PM,-,Cancel/mar25,0,/,30,0,0,0,
2606,CFS 120  01,SUPPORTING YOUNG CHILDRE,3,W,1:00 PM,BE 3189,"Wolfe, k. ",14,/,25,0,2.8,2.4,
2616,CFS 215  01,MATH/SCI METHODS YOUNG,3,Sa,9:00 AM,BE 3214,Wolfe k. ,4,/,30,0,0.8,0.6,
2633,CFS 263  01,WRK WITH CHILD WITH DISA,3,W,6:00 PM,BE 3203,"Terjeson, k.",9,/,25,0,1.8,1.8,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
1078,CHEM&110  IP,CHEMICAL CONCEPTS W/LAB,5,TTh,2:00 PM,SAM0401,"Gibbons, e. ",24,/,35,0,8,4.7,
1077,CHEM&110  01,CHEMICAL CONCEPTS W/LAB,5,TWThF,9:00 AM,SAM0401,"Naeemi, e. ",34,/,35,7,11.3,1.7,
1080,CHEM&121  01,INTRO TO CHEMISTRY,5,DAILY,10:00 AM,SAM0400,"Schultz, tom",29,/,24,3,9.7,8.7,
1081,CHEM&121  02,INTRO TO CHEMISTRY,5,DAILY,12:00 PM,SAM0400,"Wick, doug ",25,/,24,4,8.3,7.3,
1085,CHEM&121  12,INTRO TO CHEMISTRY,5,TTh,5:30 PM,SAM0401,"Burks, r. ",23,/,24,4,7.7,7.3,
1087,CHEM&122  01,FUND OF ORGANIC CHEM,5,DAILY,12:00 PM,SAM0401,"Clary, h. ",25,/,24,2,8.3,6.3,
1101,CHEM&139  01,Q-GENERAL CHEMISTRY PREP,5,DAILY,10:00 AM,SAM0401,"Clary, h. ",38,/,35,3,12.7,9,
1102,CHEM&139  02,Q-GENERAL CHEMISTRY PREP,5,DAILY,11:00 AM,SAM0401,"Villarba, m.",44,/,35,0,14.7,9,
1105,CHEM&161  02,Q-GENERAL CHEM W/LAB I,6,MWF,1:00 PM,SAM0401,"Gibbons, e. ",22,/,24,0,8.8,6.8,
1104,CHEM&161  01,Q-GENERAL CHEM W/LAB I,6,DAILY,9:00 AM,SAM0400,"Schultz, tom",24,/,24,1,9.6,6.4,
1106,CHEM&161  03,Q-GENERAL CHEM W/LAB I,6,DAILY,9:00 AM,SAM0400,"Schultz, tom",11,/,12,0,4.4,2,
1107,CHEM&161  04,Q-GENERAL CHEM W/LAB I,6,MWF,1:00 PM,SAM0401,"Gibbons, e. ",5,/,12,0,2,1.6,
1108,CHEM&162  01,Q-GENERAL CHEM W/LAB II,6,DAILY,1:00 PM,SAM0400,"Villarba, m.",28,/,24,4,11.2,7.2,
1110,CHEM&163  01,Q-GENERAL CHEM W/LAB III,6,DAILY,11:00 AM,SAM0400,"Wick, doug ",21,/,24,0,8.4,6.4,
7805,CHEM 197  01,WORK EXP:CHEMISTRY,5,Arr,AR:R M,-,"Kato, karen ",0,/,25,0,0,0,
1120,CHEM&242  01,Q-ORGANIC CHEMISTRY I,4,MTWTh,8:00 AM,SAM0401,"Naeemi, e. ",21,/,24,0,5.6,4.8,
1124,CHEM&251  01,Q-ORG CHEMISTRY LAB I,4,TTh,1:00 PM,SAM0403,"Naeemi, e. ",16,/,24,0,4.3,3.7,
1127,CHEM 299  01,INDEPENDENT STUDY,5,Arr,AR:R M,SAM0110,STAFF,0,/,5,0,0,0,
7810,CIS 197  01,WORK EXP:COMP.INFO.SYS.,5,Arr,AR:R M,-,"Kato, karen ",13,/,25,0,2.2,2,
1976,CIS 290  01,INDEPENDENT STUDY,6,Arr,AR:R M,BE 3176,"Laflen, jody",0,/,25,0,0,0,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
3188,CIS 299  01,IND STUDY:SELECTED TOPIC,5,Arr,: M,ARR,"Conger,steve",8,/,10,0,2.7,2.3,
3189,CIS 299  01,IND STUDY:CMPTR INFO SYS,5,Arr,AR:R M,-,"Sinkula,mike",0,/,5,0,0,0,
7830,CMS 197  01,COMMUNITY SRV/VOLUNTEER,3,Arr,AR:R M,-,"Kato, karen ",58,/,30,0,7.7,5.6,
7835,CMS 198  01,COMMUNITY SRV/VOLUNTEER,3,Arr,AR:R M,-,"Kato, karen ",13,/,30,0,1.5,1,
7840,CMS 199  01,COMMUNITY SRV/VOLUNTEER,3,Arr,AR:R M,-,"Kato, karen ",8,/,30,0,1,1,
